Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
46 a 47;2;2;240 (Tue Nov 14 18:55:24 BRST 2006[null]);10;4;0.715;10;2;0.834;0.770;0.715;0.001;0.834;0.119;0.770;0.055
47 a 48;11;9;242 (Tue Nov 14 20:07:36 BRST 2006[null]);17;46;0.270;42;79;0.348;0.305;0.236;0.223;0.320;0.303;0.263;0.252
48 a 49;80;61;246 (Fri Nov 17 00:01:21 BRST 2006[null]);90;237;0.276;153;478;0.243;0.259;0.297;0.285;0.311;0.321;0.257;0.236
49 a 50;5;4;247 (Fri Nov 17 00:03:23 BRST 2006[null]);0;18;0.000;0;18;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
50 a 51;21;14;262 (Sat Dec 16 22:54:13 BRST 2006[null]);18;67;0.212;23;142;0.140;0.169;0.206;0.126;0.242;0.249;0.191;0.126
53 a 54;1;1;273 (Fri Feb 23 17:21:44 BRST 2007[null]);1;3;0.250;1;3;0.250;0.250;0.250;0.000;0.250;0.000;0.250;0.000
54 a 55;21;14;281 (Fri Apr 20 11:47:04 BRT 2007[null]);19;65;0.227;34;101;0.252;0.239;0.252;0.144;0.248;0.203;0.231;0.158
55 a 56;1;1;283 (Tue Apr 24 03:35:15 BRT 2007[null]);3;5;0.375;3;3;0.500;0.429;0.375;0.000;0.500;0.125;0.429;0.054
56 a 57;17;10;296 (Wed May 09 23:32:30 BRT 2007[null]);10;57;0.150;21;119;0.150;0.150;0.138;0.121;0.107;0.105;0.119;0.109
57 a 58;1;1;299 (Sun May 13 09:30:53 BRT 2007[null]);1;3;0.250;2;16;0.112;0.155;0.250;0.000;0.112;0.139;0.154;0.097
58 a 59;6;2;302 (Sun May 13 10:33:33 BRT 2007[null]);0;8;0.000;0;23;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
59 a 60;6;3;303 (Tue May 15 10:26:05 BRT 2007[null]);1;7;0.125;1;26;0.038;0.059;0.334;0.472;0.038;0.302;0.067;0.284
60 a 61;9;4;304 (Tue May 15 10:32:06 BRT 2007[null]);5;13;0.278;10;43;0.189;0.226;0.207;0.136;0.149;0.111;0.171;0.115
61 a 62;12;3;318 (Thu May 17 09:57:16 BRT 2007[null]);2;20;0.091;3;30;0.091;0.091;0.061;0.086;0.063;0.089;0.062;0.088
62 a 63;1;1;319 (Thu May 17 10:42:51 BRT 2007[null]);0;3;0.000;0;3;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
63 a 64;2;1;326 (Fri May 18 00:21:21 BRT 2007[null]);0;1;0.000;0;5;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
