Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
202 a 203;15;10;881 (Mon Jan 14 16:52:42 BRST 2008[null]);7;21;0.250;7;28;0.201;0.223;0.292;0.386;0.348;0.443;0.308;0.399
203 a 204;3;1;886 (Tue Jan 15 15:56:21 BRST 2008[null]);5;0;1.000;5;6;0.455;0.626;1.000;0.000;0.455;0.546;0.625;0.375
204 a 205;2;1;887 (Tue Jan 15 17:59:07 BRST 2008[null]);3;9;0.250;3;8;0.273;0.261;0.250;0.000;0.273;0.023;0.261;0.011
205 a 206;1;1;894 (Thu Jan 17 18:52:26 BRST 2008[null]);0;3;0.000;0;8;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
207 a 208;6;2;900 (Fri Jan 18 14:24:35 BRST 2008[null]);7;8;0.467;8;7;0.534;0.499;0.417;0.251;0.459;0.132;0.423;0.201
208 a 209;1;1;904 (Fri Jan 18 20:16:41 BRST 2008[null]);2;0;1.000;4;2;0.667;0.801;1.000;0.000;0.667;0.334;0.801;0.200
214 a 215;76;36;921 (Tue Jan 22 11:55:19 BRST 2008[null]);38;93;0.291;45;160;0.220;0.251;0.365;0.271;0.273;0.218;0.256;0.164
215 a 216;1;1;922 (Tue Jan 22 13:07:37 BRST 2008[null]);1;1;0.500;1;6;0.143;0.223;0.500;0.000;0.143;0.358;0.223;0.278
216 a 217;9;5;924 (Tue Jan 22 18:25:46 BRST 2008[null]);3;22;0.120;3;39;0.072;0.090;0.120;0.113;0.065;0.086;0.084;0.090
218 a 219;5;5;929 (Wed Jan 23 19:50:49 BRST 2008[null]);10;15;0.401;41;66;0.384;0.393;0.407;0.054;0.390;0.106;0.389;0.063
219 a 220;21;7;931 (Thu Jan 24 12:39:47 BRST 2008[null]);8;24;0.250;9;29;0.237;0.244;0.191;0.226;0.173;0.183;0.179;0.199
220 a 221;8;8;933 (Thu Jan 24 20:11:17 BRST 2008[null]);14;23;0.379;41;39;0.513;0.436;0.405;0.147;0.534;0.243;0.450;0.148
221 a 222;5;5;934 (Fri Jan 25 13:04:29 BRST 2008[null]);10;15;0.401;41;66;0.384;0.393;0.407;0.054;0.390;0.106;0.389;0.063
222 a 223;12;12;937 (Sat Jan 26 09:35:49 BRST 2008[null]);21;33;0.389;70;58;0.547;0.455;0.423;0.169;0.544;0.277;0.460;0.173
223 a 224;2;1;938 (Sat Jan 26 09:36:24 BRST 2008[null]);1;4;0.201;1;3;0.250;0.223;0.201;0.002;0.250;0.049;0.223;0.022
224 a 225;3;2;940 (Sat Jan 26 21:56:04 BRST 2008[null]);0;5;0.000;0;2;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
225 a 226;7;1;945 (Sun Jan 27 09:12:50 BRST 2008[null]);1;1;0.500;1;7;0.125;0.201;0.500;0.000;0.125;0.375;0.201;0.300
229 a 230;2;1;963 (Mon Jan 28 16:10:43 BRST 2008[null]);1;4;0.201;3;6;0.334;0.251;0.201;0.002;0.334;0.133;0.250;0.049
230 a 231;1;1;965 (Mon Jan 28 17:26:30 BRST 2008[null]);3;6;0.334;3;9;0.250;0.286;0.334;0.001;0.250;0.085;0.286;0.049
231 a 232;3;1;971 (Tue Jan 29 13:09:20 BRST 2008[null]);1;3;0.250;1;5;0.167;0.201;0.250;0.000;0.167;0.084;0.201;0.050
232 a 233;1;1;975 (Tue Jan 29 15:42:05 BRST 2008[null]);3;8;0.273;6;11;0.353;0.308;0.273;0.001;0.353;0.080;0.308;0.035
233 a 234;5;4;976 (Tue Jan 29 15:42:39 BRST 2008[null]);6;12;0.334;22;32;0.408;0.368;0.338;0.120;0.561;0.367;0.389;0.130
235 a 236;2;2;979 (Tue Jan 29 20:28:04 BRST 2008[null]);0;8;0.000;0;16;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
236 a 237;11;7;981 (Wed Jan 30 13:17:30 BRST 2008[null]);7;24;0.226;7;16;0.305;0.260;0.179;0.158;0.215;0.197;0.194;0.171
237 a 238;21;7;983 (Wed Jan 30 14:15:02 BRST 2008[null]);6;30;0.167;6;17;0.261;0.204;0.146;0.110;0.244;0.196;0.172;0.116
241 a 242;4;2;987 (Thu Jan 31 14:05:25 BRST 2008[null]);4;7;0.364;4;14;0.223;0.277;0.355;0.021;0.339;0.263;0.294;0.180
246 a 247;8;1;1000 (Fri Feb 01 13:35:20 BRST 2008[null]);5;11;0.313;42;78;0.350;0.331;0.313;0.001;0.350;0.037;0.331;0.018
247 a 248;1;1;1001 (Fri Feb 01 14:00:46 BRST 2008[null]);1;0;1.000;1;2;0.334;0.501;1.000;0.000;0.334;0.667;0.500;0.500
248 a 249;2;2;1008 (Mon Feb 04 12:02:30 BRST 2008[null]);3;7;0.300;3;15;0.167;0.215;0.563;0.438;0.189;0.388;0.275;0.335
250 a 251;5;5;1022 (Wed Feb 06 07:24:13 BRST 2008[null]);6;14;0.300;9;8;0.530;0.384;0.300;0.101;0.512;0.213;0.372;0.106
251 a 252;1;1;1024 (Wed Feb 06 07:26:39 BRST 2008[null]);1;3;0.250;1;2;0.334;0.286;0.250;0.000;0.334;0.084;0.286;0.036
252 a 253;7;5;1026 (Wed Feb 06 11:14:46 BRST 2008[null]);1;19;0.051;1;37;0.027;0.036;0.051;0.101;0.021;0.051;0.029;0.062
253 a 254;6;6;1027 (Wed Feb 06 14:38:47 BRST 2008[null]);11;21;0.344;19;53;0.264;0.299;0.323;0.182;0.390;0.363;0.304;0.196
255 a 256;3;2;1031 (Thu Feb 07 11:31:25 BRST 2008[null]);2;3;0.401;5;0;1.000;0.573;0.625;0.375;1.000;0.375;0.700;0.310
256 a 257;2;1;1032 (Thu Feb 07 11:33:15 BRST 2008[null]);0;1;0.000;0;1;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
258 a 259;3;2;1040 (Sat Feb 09 11:41:05 BRST 2008[null]);2;6;0.250;2;18;0.101;0.144;0.250;0.250;0.125;0.177;0.167;0.187
259 a 260;2;1;1046 (Tue Feb 12 14:20:48 BRST 2008[null]);2;5;0.286;4;19;0.174;0.217;0.286;0.001;0.174;0.113;0.217;0.070
260 a 261;2;2;1047 (Tue Feb 12 14:28:33 BRST 2008[null]);3;8;0.273;10;11;0.477;0.348;0.268;0.018;0.417;0.171;0.325;0.069
262 a 263;14;14;1050 (Fri Feb 15 08:53:23 BRST 2008[null]);26;38;0.407;93;211;0.306;0.350;0.412;0.185;0.316;0.227;0.340;0.177
263 a 264;1;1;1057 (Fri Feb 15 15:05:58 BRST 2008[null]);2;0;1.000;3;6;0.334;0.501;1.000;0.000;0.334;0.667;0.500;0.500
264 a 265;2;1;1061 (Fri Feb 15 16:05:12 BRST 2008[null]);1;1;0.500;3;4;0.429;0.462;0.500;0.000;0.429;0.072;0.462;0.039
266 a 267;2;2;1072 (Tue Feb 19 17:30:53 BRT 2008[null]);1;4;0.201;1;1;0.500;0.287;0.167;0.167;0.500;0.601;0.250;0.264
268 a 269;2;1;1084 (Tue Feb 26 11:54:29 BRT 2008[null]);1;0;1.000;1;3;0.250;0.401;1.000;0.000;0.250;0.750;0.401;0.600
269 a 270;1;1;1085 (Thu Feb 28 08:03:05 BRT 2008[null]);1;1;0.500;1;7;0.125;0.201;0.500;0.000;0.125;0.375;0.201;0.300
271 a 272;2;2;1088 (Thu Feb 28 09:28:17 BRT 2008[null]);3;3;0.500;4;7;0.364;0.422;0.625;0.375;0.355;0.272;0.416;0.247
272 a 273;5;4;1090 (Thu Feb 28 16:29:33 BRT 2008[null]);9;21;0.300;13;48;0.214;0.250;0.292;0.042;0.206;0.115;0.233;0.082
273 a 274;2;1;1092 (Thu Feb 28 16:36:22 BRT 2008[null]);0;3;0.000;0;2;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
274 a 275;11;6;1094 (Fri Feb 29 09:52:13 BRT 2008[null]);4;18;0.182;4;38;0.096;0.126;0.367;0.454;0.091;0.302;0.135;0.293
275 a 276;6;2;1100 (Wed Mar 05 10:29:26 BRT 2008[null]);0;5;0.000;0;15;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
279 a 280;1;1;1133 (Thu Mar 13 13:03:18 BRT 2008[null]);0;4;0.000;0;1;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
281 a 282;3;2;1155 (Tue Mar 18 14:22:02 BRT 2008[null]);2;4;0.334;2;5;0.286;0.309;0.375;0.125;0.584;0.466;0.326;0.091
282 a 283;5;2;1158 (Tue Mar 18 15:45:38 BRT 2008[null]);2;4;0.334;2;2;0.500;0.401;0.500;0.500;0.334;0.373;0.401;0.413
283 a 284;4;2;1159 (Wed Mar 19 12:45:42 BRT 2008[null]);1;5;0.167;1;3;0.250;0.201;0.250;0.250;0.167;0.187;0.201;0.207
