Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
0 a 50;204;149;281 (Fri Oct 12 18:30:52 BRT 2007[null]);177;531;0.25;456;1060;0.301;0.274;0.289;0.311;0.237;0.272;0.223;0.235
5 a 55;203;149;294 (Thu Nov 01 13:47:05 BRST 2007[null]);181;477;0.276;451;1051;0.301;0.288;0.315;0.309;0.254;0.274;0.243;0.238
10 a 60;200;147;311 (Sat Jan 05 13:05:55 BRST 2008[null]);171;462;0.271;425;1066;0.286;0.279;0.315;0.312;0.24;0.27;0.236;0.241
15 a 65;208;147;326 (Sun Jan 06 21:35:00 BRST 2008[null]);170;504;0.253;406;1010;0.287;0.269;0.275;0.273;0.231;0.245;0.225;0.223
20 a 70;231;169;374 (Wed Feb 06 17:01:17 BRST 2008[null]);225;572;0.283;524;1126;0.318;0.3;0.299;0.278;0.268;0.264;0.256;0.235
25 a 75;273;188;417 (Fri May 30 16:12:01 BRT 2008[null]);265;614;0.302;619;1456;0.299;0.301;0.336;0.306;0.281;0.271;0.275;0.249
26 a 76;265;184;417 (ULTIMO);263;587;0.31;617;1425;0.303;0.307;0.342;0.306;0.287;0.271;0.28;0.249
