Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
210 a 260;273;190;997 (Tue Sep 01 20:21:44 BRT 2009[null]);311;628;0.332;593;1581;0.273;0.300;0.321;0.271;0.248;0.251;0.249;0.217
215 a 265;211;146;1007 (Sat Sep 05 11:14:12 BRT 2009[null]);260;468;0.358;412;1039;0.284;0.317;0.337;0.281;0.255;0.254;0.263;0.228
220 a 270;214;147;1014 (Wed Sep 09 16:49:44 BRT 2009[null]);258;478;0.351;402;1066;0.274;0.308;0.333;0.279;0.248;0.248;0.257;0.222
225 a 275;197;129;1032 (Tue Sep 15 13:34:05 BRT 2009[null]);188;415;0.312;290;927;0.239;0.271;0.287;0.265;0.224;0.257;0.222;0.212
230 a 280;206;139;1040 (Wed Sep 16 16:20:07 BRT 2009[null]);196;437;0.310;299;1003;0.230;0.265;0.277;0.260;0.212;0.245;0.211;0.204
235 a 285;194;137;1063 (Mon Oct 05 16:28:53 BRT 2009[null]);229;441;0.342;351;1119;0.239;0.282;0.296;0.263;0.219;0.251;0.221;0.206
240 a 290;187;131;1083 (Fri Oct 09 11:41:34 BRT 2009[null]);228;431;0.346;354;1085;0.247;0.289;0.304;0.267;0.226;0.255;0.228;0.210
245 a 295;186;129;1120 (Tue Nov 17 10:55:53 BRST 2009[null]);215;409;0.345;339;1067;0.242;0.285;0.300;0.271;0.220;0.258;0.222;0.212
250 a 300;157;108;1153 (Tue Dec 01 12:23:58 BRST 2009[null]);191;360;0.347;288;824;0.259;0.297;0.293;0.263;0.243;0.264;0.237;0.214
255 a 305;149;102;1191 (Sat Dec 12 15:32:27 BRST 2009[null]);167;353;0.322;249;778;0.243;0.277;0.276;0.264;0.225;0.262;0.219;0.210
260 a 310;147;102;1229 (Thu Dec 24 12:39:40 BRST 2009[null]);171;344;0.333;255;762;0.251;0.287;0.286;0.262;0.233;0.262;0.228;0.211
