Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
0 a 50;223;161;164 (Tue Sep 03 20:39:32 BRT 2013[null]);171;675;0.203;210;574;0.268;0.232;0.200;0.227;0.240;0.275;0.201;0.210
5 a 55;192;138;177 (Sun Oct 20 18:40:57 BRST 2013[null]);140;562;0.200;172;462;0.272;0.231;0.196;0.228;0.237;0.282;0.199;0.219
10 a 60;139;103;199 (Thu Nov 14 15:11:13 BRST 2013[null]);102;415;0.198;107;259;0.293;0.237;0.203;0.244;0.271;0.321;0.216;0.239
15 a 65;124;93;214 (Sun Dec 22 20:05:06 BRST 2013[null]);97;353;0.216;102;232;0.306;0.254;0.215;0.242;0.298;0.351;0.235;0.255
20 a 70;131;92;258 (Thu Nov 21 05:45:04 BRST 2013[null]);81;351;0.188;86;249;0.257;0.218;0.190;0.241;0.249;0.322;0.197;0.230
25 a 75;148;98;284 (Sun Feb 09 10:51:27 BRST 2014[null]);102;402;0.203;110;282;0.281;0.236;0.200;0.221;0.278;0.334;0.218;0.231
30 a 80;155;105;302 (Mon Jun 16 15:37:30 BRT 2014[null]);121;407;0.230;146;273;0.349;0.278;0.248;0.266;0.357;0.385;0.275;0.281
35 a 85;174;119;310 (Mon Jun 23 17:51:52 BRT 2014[null]);145;448;0.245;173;306;0.362;0.293;0.265;0.283;0.353;0.364;0.282;0.278
39 a 89;186;125;336 (ULTIMO);154;463;0.250;182;313;0.368;0.298;0.267;0.275;0.358;0.358;0.286;0.272
