
0.0_;0.109;
0.1_;0.186;
0.2_;0.253;
0.3_;0.325;
0.4_;0.370;
0.5_;0.426;
0.6_;0.519;
0.7_;0.589;
0.8_;0.652;
0.9_;0.813;
1.0_;0.900;
