Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
0 a 50;118;49;262 (Tue Sep 23 17:17:35 BRT 2014[null]);38;83;0.315;55;149;0.270;0.291;0.347;0.412;0.289;0.372;0.275;0.334
5 a 55;142;63;274 (Fri Sep 26 18:19:14 BRT 2014[null]);58;131;0.307;75;191;0.282;0.294;0.330;0.379;0.286;0.332;0.274;0.308
10 a 60;144;63;302 (Mon Nov 10 17:15:50 BRST 2014[null]);65;139;0.319;80;189;0.298;0.309;0.320;0.349;0.318;0.344;0.291;0.307
11 a 61;144;63;304 (ULTIMO);65;139;0.319;80;189;0.298;0.309;0.320;0.349;0.318;0.344;0.291;0.307
